method,version,n,d,noise_sd,mae,rmse
ols,boundary,100,2,0.1,0.38927429919620643,0.6729713508248671
ols,boundary,100,2,1,3.868120743205144,6.676803266868349
ols,boundary,100,5,0.1,0.23265608893123327,0.33816431410889847
ols,boundary,100,5,1,2.324186549768495,3.369191434364016
ols,boundary,100,10,0.1,0.11876831417595035,0.15072397336642845
ols,boundary,100,10,1,1.06416281883408,1.333390968584929
ols,boundary,200,2,0.1,0.3148950027955497,0.674845060178473
ols,boundary,200,2,1,3.1464878988587452,6.7415825073629225
ols,boundary,200,5,0.1,0.19432138328836907,0.31242766800338545
ols,boundary,200,5,1,1.937623851897401,3.1069853169524375
ols,boundary,200,10,0.1,0.14490565920884274,0.20121691895505803
ols,boundary,200,10,1,1.437659991127373,1.9914213391490188
ols,boundary,500,2,0.1,0.33028541687314983,1.215403847145208
ols,boundary,500,2,1,3.3024941363266787,12.15166957332071
ols,boundary,500,5,0.1,0.14349403143166456,0.2571767196288416
ols,boundary,500,5,1,1.4338056398293786,2.5678363810684086
ols,boundary,500,10,0.1,0.11572675927584786,0.16420499264186272
ols,boundary,500,10,1,1.153244194808693,1.633117150784171
ols,boundary,1000,2,0.1,0.22059042329405293,0.9502572505299821
ols,boundary,1000,2,1,2.206305277378828,9.503217610660377
ols,boundary,1000,5,0.1,0.15241798107015966,0.4305564898243203
ols,boundary,1000,5,1,1.5237054481626429,4.299663042002603
ols,boundary,1000,10,0.1,0.10536751077209656,0.15936501050550528
ols,boundary,1000,10,1,1.0530346742380683,1.5909113086762863
knn,boundary,100,2,0.1,0.8982528371470964,1.04510964618705
knn,boundary,100,2,1,1.2219239299480211,1.5057188023087773
knn,boundary,100,5,0.1,1.1456188807002028,1.3164192719631114
knn,boundary,100,5,1,1.396323619807396,1.7102247469740082
knn,boundary,100,10,0.1,1.3551678569916532,1.5475720927263725
knn,boundary,100,10,1,1.5469021316834835,1.874880565568909
knn,boundary,200,2,0.1,0.8704293432526616,1.0056177456085673
knn,boundary,200,2,1,1.1717487412548917,1.4429962156794789
knn,boundary,200,5,0.1,1.1228222862908916,1.2799132250700687
knn,boundary,200,5,1,1.3576048622558183,1.6595732697932486
knn,boundary,200,10,0.1,1.3281794054715974,1.5075960930462624
knn,boundary,200,10,1,1.4910053965203212,1.8048477677753776
knn,boundary,500,2,0.1,0.8564949454432682,0.9883528256544508
knn,boundary,500,2,1,1.1560212313495688,1.4211107113420545
knn,boundary,500,5,0.1,1.1073440971908448,1.2607937144417722
knn,boundary,500,5,1,1.3345616787221597,1.6313449727369322
knn,boundary,500,10,0.1,1.3215622245989127,1.495497696696728
knn,boundary,500,10,1,1.4711155320582292,1.7769777188062081
knn,boundary,1000,2,0.1,0.844256217792807,0.9711449200214736
knn,boundary,1000,2,1,1.141192884569122,1.4036786168426512
knn,boundary,1000,5,0.1,1.0949138843097204,1.2441536875849406
knn,boundary,1000,5,1,1.3077837435328437,1.6008119419095481
knn,boundary,1000,10,0.1,1.3098617486870932,1.4799766573252031
knn,boundary,1000,10,1,1.4633431124599048,1.76495565032159
rf,boundary,100,2,0.1,1.0158542661690786,1.1729487194918164
rf,boundary,100,2,1,1.2450936807500201,1.5313376662503568
rf,boundary,100,5,0.1,1.5369292804313388,1.7331223063378964
