method,version,n,d,noise_sd,mae,rmse
naive,complex,500,5,1,1.6262053194147148,1.7183809586812548
naive,complex,500,10,1,1.6202755178354897,1.7165577170190773
naive,complex,1000,5,1,1.6231204342172179,1.7149305771013426
naive,complex,1000,10,1,1.6248644620505173,1.7157156129208206
naive,unbalanced,500,5,1,3.9817684455139393,4.231732649499338
naive,unbalanced,500,10,1,3.9928143316951923,4.262805594001094
naive,unbalanced,1000,5,1,3.9488701484976247,4.101278748144886
naive,unbalanced,1000,10,1,3.979444457559603,4.143021849228056
naive,boundary,500,5,1,0.9052576632738976,1.1341736056398506
naive,boundary,500,10,1,0.9064431636600595,1.1353436435424022
naive,boundary,1000,5,1,0.9051595153717928,1.1338053960508594
naive,boundary,1000,10,1,0.9024808439179218,1.1312906230297406
grf,complex,500,5,1,0.32309437661519813,0.3861315807669446
grf,complex,500,10,1,0.32816000147576335,0.3874818832657093
grf,complex,1000,5,1,0.23535811359345615,0.2843468022305954
grf,complex,1000,10,1,0.26584538940341346,0.312173742428355
grf,unbalanced,500,5,1,1.6036988805833527,1.927787527210687
grf,unbalanced,500,10,1,3.0975936430472997,3.3192242183185607
grf,unbalanced,1000,5,1,0.9326826864762005,1.225627624843608
grf,unbalanced,1000,10,1,1.878375259522223,2.157225744527684
grf,boundary,500,5,1,0.36516016640781623,0.5058302046921046
grf,boundary,500,10,1,0.40516502058091985,0.550144125781286
grf,boundary,1000,5,1,0.29337504572592144,0.4164013167954058
grf,boundary,1000,10,1,0.3322441171639789,0.46730919530496945
trf,complex,500,5,1,0.3200108437428563,0.39761576741220805
trf,complex,500,10,1,0.3051987692886159,0.37594750114696757
trf,complex,1000,5,1,0.25526861005685053,0.3210983615656018
trf,complex,1000,10,1,0.2547119123039274,0.3141489413087356
trf,unbalanced,500,5,1,2.9237498204417003,3.6461505207041474
trf,unbalanced,500,10,1,3.8873216632125915,4.776805198181053
trf,unbalanced,1000,5,1,2.3428403227035886,2.9622680566715593
trf,unbalanced,1000,10,1,3.406706801257078,4.224506061204774
trf,boundary,500,5,1,0.325311577647878,0.42719990163369986
trf,boundary,500,10,1,0.3651038918930305,0.48388396617832974
trf,boundary,1000,5,1,0.2810289079879352,0.37156966100428435
trf,boundary,1000,10,1,0.3073027728954675,0.41383755907080333
