method,version,n,d,noise_sd,mae,rmse
const,complex,100,2,1,1.6279420526729484,1.7351400581923915
const,complex,100,5,1,1.6256738198892458,1.729320136494362
const,complex,100,10,1,1.6194404245546494,1.7296148727846803
const,complex,500,2,1,1.6162733736186743,1.712728231874891
const,complex,500,5,1,1.6182692145950017,1.7149468304907958
const,complex,500,10,1,1.6145527502533896,1.7129865056134574
const,complex,1000,2,1,1.617636586953263,1.710690703356671
const,complex,1000,5,1,1.6183065969169543,1.7109641498967265
const,complex,1000,10,1,1.6199378719391602,1.7113697737127993
const,unbalanced,500,2,1,3.983509028351459,4.053266187961017
const,unbalanced,500,5,1,3.992163501833212,4.191967909504293
const,unbalanced,500,10,1,3.9805152768685894,4.1323746848744864
const,unbalanced,1000,2,1,3.9733386717541994,4.016939393354248
const,unbalanced,1000,5,1,3.9886431944608143,4.080468218747898
const,unbalanced,1000,10,1,3.9644203909904197,4.08698138972918
const,boundary,100,5,1,0.9140544323991799,1.1460094680127306
const,boundary,100,10,1,0.908551789587744,1.1391064659088508
const,boundary,500,5,1,0.8996568264982557,1.1281626387826704
const,boundary,500,10,1,0.8998130803215876,1.1281084718146448
const,boundary,1000,5,1,0.89892867382573,1.1269252512875259
const,boundary,1000,10,1,0.8969998130537545,1.1249090941282915
const,simple,100,2,1,1.7037141121317534,1.7037141121317534
const,simple,100,5,1,717.8485434055324,717.8485434055324
const,simple,100,10,1,6931003.134884352,6931003.134884352
const,simple,500,2,1,0.7405149897761308,0.7405149897761308
const,simple,500,5,1,232.53308775366514,232.53308775366514
const,simple,500,10,1,3092263.228719302,3092263.228719302
const,simple,1000,2,1,0.5015647470957332,0.5015647470957332
const,simple,1000,5,1,170.72048453165547,170.72048453165547
const,simple,1000,10,1,2182905.93429186,2182905.93429186
knn,complex,100,2,1,0.6071042377024206,0.7536773383057771
knn,complex,100,5,1,0.9493648370249208,1.1616660716495655
knn,complex,100,10,1,1.1436800756365169,1.3649061715978852
knn,complex,500,2,1,0.3191252595086467,0.40042694475865526
knn,complex,500,5,1,0.768118024940228,0.8955898681609847
knn,complex,500,10,1,1.0603390552122418,1.1689906654683537
knn,complex,1000,2,1,0.2621055777740377,0.3336503621826353
knn,complex,1000,5,1,0.762433574115964,0.869085723873639
knn,complex,1000,10,1,1.0597799940635906,1.149366352453546
knn,unbalanced,500,2,1,1.9629821326430694,2.4303466930099904
knn,unbalanced,500,5,1,3.0496124605576913,3.6480689190574846
knn,unbalanced,500,10,1,3.4678242641965515,4.120603558118384
knn,unbalanced,1000,2,1,1.9164561038604895,2.3840554916712335
knn,unbalanced,1000,5,1,2.8700100120190535,3.3345356329618827
knn,unbalanced,1000,10,1,3.238193187720007,3.776031761213394
knn,boundary,100,5,1,0.6819850255358415,0.8549474019515229
knn,boundary,100,10,1,0.7554061674596911,0.9465947714302195
knn,boundary,500,5,1,0.4430088433927263,0.57590083085981425
knn,boundary,500,10,1,0.572404782121069,0.729103740090175
knn,boundary,1000,5,1,0.4091215694414754,0.5403966254965963
knn,boundary,1000,10,1,0.543587528686225,0.6955562524069531
knn,simple,100,2,1,1.8781241966996163,2.3758598182168447
knn,simple,100,5,1,1177.896944573478,1517.9942319733968
knn,simple,100,10,1,16231351.179027364,21155405.327388696
knn,simple,500,2,1,0.8049488013762838,1.0181405747357115
knn,simple,500,5,1,515.2850042454625,665.8258638395474
knn,simple,500,10,1,7246696.013186069,9444169.812679864
knn,simple,1000,2,1,0.5652660319936464,0.7125621598963037
knn,simple,1000,5,1,354.41922754926844,455.19578154096195
knn,simple,1000,10,1,4925856.597091529,6417234.010479489
ols,complex,100,2,1,0.9081111548547379,1.1901796007579384
ols,complex,100,5,1,1.2293244427509298,1.5574145209776653
ols,complex,100,10,1,1.2700283952087197,1.5921537213295143
ols,complex,500,2,1,0.6464659911722266,0.8096401042222889
ols,complex,500,5,1,0.7221232743243069,0.9052099359430106
ols,complex,500,10,1,0.8371625658001327,1.049696236826761
ols,complex,1000,2,1,0.6154503023088564,0.7559156862067025
ols,complex,1000,5,1,0.6769358872378974,0.8392351078622265
ols,complex,1000,10,1,0.7282897027417082,0.9081262941371265
ols,unbalanced,500,2,1,9.736816400001999,67.47546137464411
ols,unbalanced,500,5,1,3.717645724168398,13.474270895803977
ols,unbalanced,500,10,1,3.7044390468059163,9.384817726578943
ols,unbalanced,1000,2,1,8.23230282375731,58.526631009583184
ols,unbalanced,1000,5,1,5.637220370851443,37.712639441295245
ols,unbalanced,1000,10,1,2.7852114422426704,7.966210459198102
ols,boundary,100,5,1,1.5356302980047083,3.2037545943040118
ols,boundary,100,10,1,1.031410418237309,1.3446982216562797
ols,boundary,500,5,1,0.535899378684945,1.5761082425791586
ols,boundary,500,10,1,0.6821661725122795,1.3177779291540568
ols,boundary,1000,5,1,0.7124947686981532,4.56954232338564
ols,boundary,1000,10,1,0.4780947878708813,1.1042209214299463
ols,simple,100,2,1,1.1552680436290743,1.5895465641923412
ols,simple,100,5,1,922.024115408851,1196.2947928211593
ols,simple,100,10,1,15920400.328272626,19952120.81765699
ols,simple,500,2,1,0.5384347662556022,0.731086027436473
ols,simple,500,5,1,427.7739926860641,558.4616537560693
ols,simple,500,10,1,9170280.63110797,11639500.343736397
ols,simple,1000,2,1,0.3893098278705082,0.5271126545135686
ols,simple,1000,5,1,333.5819326037734,435.2323966059771
ols,simple,1000,10,1,6863884.237933108,8731842.972775696
