method,version,n,d,noise_sd,mae,rmse
const,complex,100,2,1,1.608727570865428,1.7212037705838568
const,complex,100,5,1,1.6056772606435268,1.7140343616509655
const,complex,100,10,1,1.5991194223852092,1.7124211001013803
const,complex,200,2,1,1.605935495649435,1.7060955208345472
const,complex,200,5,1,1.6041332974342268,1.7067682645193907
const,complex,200,10,1,1.600809018257213,1.7061104866738823
const,complex,500,2,1,1.5966658591393896,1.6966206839495426
const,complex,500,5,1,1.59899811776392,1.699620217213839
const,complex,500,10,1,1.596030859832239,1.697543419944767
const,complex,1000,2,1,1.598282218705352,1.6957742890171317
const,complex,1000,5,1,1.5989354840129084,1.6962435950496535
const,complex,1000,10,1,1.6008948143262343,1.6973304862703111
const,simple,100,2,1,0.23775210006227476,0.23775210006227476
const,simple,100,5,1,0.337336984843595,0.337336984843595
const,simple,100,10,1,0.6182841014273441,0.6182841014273441
const,simple,200,2,1,0.1736103408612264,0.1736103408612264
const,simple,200,5,1,0.2341509829729428,0.2341509829729428
const,simple,200,10,1,0.46834778670195937,0.46834778670195937
const,simple,500,2,1,0.09672383302227744,0.09672383302227744
const,simple,500,5,1,0.18176434094261815,0.18176434094261815
const,simple,500,10,1,0.33844648997437654,0.33844648997437654
const,simple,1000,2,1,0.06926288377697155,0.06926288377697155
const,simple,1000,5,1,0.09556469250625282,0.09556469250625282
const,simple,1000,10,1,0.1851874839120359,0.1851874839120359
ols,complex,100,2,1,0.9382806400618126,1.2391116081139861
ols,complex,100,5,1,1.2534766870125613,1.585998496135987
ols,complex,100,10,1,1.2828623778140902,1.6144975827269155
ols,complex,200,2,1,0.7523245444653704,0.9618831620447273
ols,complex,200,5,1,0.9455573956108975,1.1969416964665618
ols,complex,200,10,1,1.1795510130945488,1.4852867156294303
ols,complex,500,2,1,0.6434263615565964,0.8169728127408187
ols,complex,500,5,1,0.7213288363311481,0.9083941231579682
ols,complex,500,10,1,0.8416576601537429,1.0566226612331042
ols,complex,1000,2,1,0.6086418403770434,0.7600115179941979
ols,complex,1000,5,1,0.6662663010563368,0.8374062978874356
ols,complex,1000,10,1,0.732011824239951,0.91224272818220975
ols,simple,100,2,1,0.7380624620432701,0.968689022962901
ols,simple,100,5,1,1.6971117979323935,2.179878861080199
ols,simple,100,10,1,2.9469392403811954,3.7075193935996746
ols,simple,200,2,1,0.472876777843743,0.6229342141186907
ols,simple,200,5,1,1.1952236168947947,1.5692007864848223
ols,simple,200,10,1,3.084535881009531,3.9424310596484062
ols,simple,500,2,1,0.32887561620801514,0.4256290998710651
ols,simple,500,5,1,0.7202526015732353,0.935546969405282
ols,simple,500,10,1,2.3595074475770392,3.0375064162229664
ols,simple,1000,2,1,0.23198199311130308,0.3010667277979387
ols,simple,1000,5,1,0.5897927663898116,0.7737052497017507
ols,simple,1000,10,1,1.6495962798875305,2.129537034342567
knn,complex,100,2,1,0.6071468942913033,0.7545106205190265
knn,complex,100,5,1,0.9307187573512076,1.139702922801422
knn,complex,100,10,1,1.1246961904396242,1.3455200133491296
knn,complex,200,2,1,0.45343486069311245,0.5585606732656349
knn,complex,200,5,1,0.8289247220550697,0.996550833366227
knn,complex,200,10,1,1.0688597442413992,1.2326002700937173
knn,complex,500,2,1,0.31850448626341726,0.39888427776313956
knn,complex,500,5,1,0.746358701861802,0.8732213800262878
knn,complex,500,10,1,1.027965476427946,1.1392012875831208
knn,complex,1000,2,1,0.2575770531823257,0.32934442307636536
knn,complex,1000,5,1,0.7404462499535844,0.846819928636595
knn,complex,1000,10,1,1.0292582466083957,1.120250187087441
knn,simple,100,2,1,0.6349168936538678,0.7942213241126848
