method,version,n,d,noise_sd,mae,rmse
grf,complex,100,2,1,0.6694674781743353,0.7772163539847928
grf,complex,100,5,1,0.8430122854508835,0.9430566876726506
grf,complex,100,10,1,0.895807230923866,0.9961887534413166
grf,complex,500,2,1,0.29083680530619227,0.3479790989006474
grf,complex,500,5,1,0.3234751663541016,0.38237501294385234
grf,complex,500,10,1,0.3485811191182959,0.4069783424112945
grf,complex,1000,2,1,0.21036647999412178,0.2578904051035385
grf,complex,1000,5,1,0.24452460039549556,0.2964263152914465
grf,complex,1000,10,1,0.2688026222446937,0.3125798409281797
grf,unbalanced,500,2,1,0.5318893698395173,0.8541550528142582
grf,unbalanced,500,5,1,0.9035788963074152,1.2285707998804885
grf,unbalanced,500,10,1,2.034897515161757,2.3293252573865253
grf,unbalanced,1000,2,1,0.33668951101847594,0.630470438393127
grf,unbalanced,1000,5,1,0.5073946565509877,0.7919226750781576
grf,unbalanced,1000,10,1,1.0839527467595182,1.382725003925828
grf,boundary,100,5,1,0.6069472575840242,0.7909669672082392
grf,boundary,100,10,1,0.6732821982481141,0.8719861078897069
grf,boundary,500,5,1,0.35446941405875976,0.4924534491435951
grf,boundary,500,10,1,0.40463873337983974,0.5526080373104179
grf,boundary,1000,5,1,0.29203344896860345,0.4110086278714159
grf,boundary,1000,10,1,0.3257511854892723,0.46233373366238106
grf,simple,100,2,1,0.5196714791785335,0.6412151657241737
grf,simple,100,5,1,450.47363493353214,546.140939356639
grf,simple,100,10,1,6275884.865584077,7565816.965137109
grf,simple,500,2,1,0.25077250834366327,0.3130131670995446
grf,simple,500,5,1,188.2044121847337,250.1513344111944
grf,simple,500,10,1,3269025.0705301277,4310273.402322068
grf,simple,1000,2,1,0.20021068339235445,0.2504004680816835
grf,simple,1000,5,1,131.72129442419958,176.97169819702333
grf,simple,1000,10,1,2664542.1354024173,3552329.73386803
