method,version,n,d,noise_sd,mae,rmse
const,complex,100,2,0.1,1.597267021285837,1.7053581648858627
const,complex,100,2,1,1.599979408333261,1.7178222910584888
const,complex,100,5,0.1,1.5972217275395026,1.705257250386583
const,complex,100,5,1,1.602202201152766,1.7177367405254977
const,complex,100,10,0.1,1.5973342672408726,1.7055548978349384
const,complex,100,10,1,1.5993746930420083,1.718752689606597
const,complex,200,2,0.1,1.5959107075925807,1.7016765678729864
const,complex,200,2,1,1.5964800995541488,1.7067052553168802
const,complex,200,5,0.1,1.5963312191971897,1.7020219265515777
const,complex,200,5,1,1.5983249206435053,1.707079553598327
const,complex,200,10,0.1,1.596048881967446,1.701864015000996
const,complex,200,10,1,1.5969965929562973,1.707262202510812
const,complex,500,2,0.1,1.5936511829534106,1.6986840267867633
const,complex,500,2,1,1.5933836289395038,1.700227813199332
const,complex,500,5,0.1,1.5937033416511452,1.698860156841218
const,complex,500,5,1,1.5941193318065923,1.7019969744329724
const,complex,500,10,0.1,1.5937653563960148,1.6989318785158751
const,complex,500,10,1,1.5943234552613332,1.7023646631089404
const,complex,1000,2,0.1,1.5941736184044368,1.697813551632184
const,complex,1000,2,1,1.593936334799606,1.6988832158115155
const,complex,1000,5,0.1,1.5942788782244652,1.697827007281101
const,complex,1000,5,1,1.5949911436300388,1.698869474001785
const,complex,1000,10,0.1,1.5943717636337356,1.6978213336252659
const,complex,1000,10,1,1.5959109395415856,1.6988772163122736
const,simple,100,2,0.1,0.1470073310447386,0.1470073310447386
const,simple,100,2,1,0.22398263135194835,0.22398263135194835
const,simple,100,5,0.1,0.2980579583390703,0.2980579583390703
const,simple,100,5,1,0.33246246264718154,0.33246246264718154
const,simple,100,10,0.1,0.5661309985676297,0.5661309985676297
const,simple,100,10,1,0.6005208641355645,0.6005208641355645
const,simple,200,2,0.1,0.12718271641393813,0.12718271641393813
const,simple,200,2,1,0.18210538923854586,0.18210538923854586
const,simple,200,5,0.1,0.19755296666006256,0.19755296666006256
const,simple,200,5,1,0.23340921719066143,0.23340921719066143
const,simple,200,10,0.1,0.40589849351251034,0.40589849351251034
const,simple,200,10,1,0.4354626866836893,0.4354626866836893
const,simple,500,2,0.1,0.06402700309573062,0.06402700309573062
const,simple,500,2,1,0.09003492573107001,0.09003492573107001
const,simple,500,5,0.1,0.14670422291576365,0.14670422291576365
const,simple,500,5,1,0.17979946228631785,0.17979946228631785
const,simple,500,10,0.1,0.30333699152750593,0.30333699152750593
const,simple,500,10,1,0.3210295991500654,0.3210295991500654
const,simple,1000,2,0.1,0.04959437770730753,0.04959437770730753
const,simple,1000,2,1,0.07435809913357619,0.07435809913357619
const,simple,1000,5,0.1,0.09856909524599697,0.09856909524599697
const,simple,1000,5,1,0.0985547461330872,0.0985547461330872
const,simple,1000,10,0.1,0.19453386507358386,0.19453386507358386
const,simple,1000,10,1,0.20365140213600114,0.20365140213600114
ols,complex,100,2,0.1,0.661355958636676,0.853704571661994
ols,complex,100,2,1,0.9182425725163386,1.2032249920956024
ols,complex,100,5,0.1,0.7206905650621737,0.9156760860508949
ols,complex,100,5,1,1.2483518952922654,1.5908464869669499
ols,complex,100,10,0.1,0.7891369054553266,0.993942107969212
ols,complex,100,10,1,1.2549823245472091,1.5748618059433335
